"Name" "price1" "price2"
"3" "624 VALPOLICELLA 1961 (Cantina Sociale) Red" "1.69" "18.25"
"4" "614 SOAVE 1961 (Cantina Sociale) White" "1.69" "18.25"
"6" "619 TYROLEAN RED AUSLESE 1963" "1.89" "20.40"
"7" "629 TYROLEAN WHITE AUSLESE 1963" "1.89" "20.40"
"9" "1205 GRAHAM'S WESTMINSTER TAWNY PORT" "1.99" "21.95"
"10" "1268 BLANDY'S SERCIAL MADEIRA (Dry)" "2.19" "24.50"
"11" "1269 BLANDY'S BUAL MADEIRA (Rich)" "2.19" "24.50"
"13" "301 PINOT CHARDONNAY LAMARTINE (Caves Cooperative)" "1.59" "17.15"
"14" "821 MEURSAULT(Estate bottled, Joseph Matrot)" "2.59" "28.00"
"15" "345 POUILLY FUISSE(Estate bottled, Plumet)" "2.99" "32.30"
"16" "310 CHASSAGNE MONTRACHET, LES RUCHOTTES(Claude Ramonet)" "3.99" "43.10"
"17" "295 PULIGNY MONTRACHET (Estate bottled Julien Monnot)" "4.49" "48.50"
"18" "344 MEURSAULT, CLOS DES PERRIERES(Estate bottled, A.Grivault)" "4.59" "49.55"
"19" "369 LE MONTRACHET(Estate bottled, Milan-Mathey)" "8.40" "91.80"
"20" "390 MUSIGNY BLANC(Estate bottled, Comte de Vogue)" "12.50" "137.50"
"22" "422 CHATEAU DE CHILLON 1962" "1.99" "22.95"
"23" "408 MON SOLEIL(Lake Geneva White)" "1.99" "22.95"
"24" "427 DIAMANT ROSE(Lake Geneva Rose)" "1.99" "22.95"
"26" "278 CHATEAU RIEUSSEC 1961 (Sauternes)" "3.49" "37.70"
"27" "241 DOMAINE DE CHEVALIER 1961(Graves)" "4.49" "48.50"
"28" "220 CHATEAU HAUT BRION BLANC 1960(Graves)" "4.99" "53.90"
"29" "325 CHATEAU D'YQUEM 1959 (Sauternes)" "7.49" "80.90"
